SMILES,IC50
CC(=C)C1CCC2(C1C3CCC4C5(CCC(=O)C(C5CCC4(C3(CC2)C)C)(C)CO)C)C(=O)O,10.19757808
C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,10.2
COC1=CC2=C(C=C1)OC3=C(C(=C(C(=C3C2=O)O)OC)O)OC,10.2
COC1=C(C=C2C(=C1)OC3=C(C2=O)C(=C(C(=C3)O)O)O)Cl,10.2
CC1CC2=CC(=C(C(=C2C3=C(C4=C(C=C3C(C1(C)O)OC(=O)C5=CC=CC=C5)OCO4)OC)OC)OC)OC,10.26835632
CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)CC(=O)C=CC6=CC(=C(C=C6)O)OC)C(=O)O,10.27018486
CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO,10.3
CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O,10.3
CC(C)C1=C(C=C2C(=C1)C(=O)CC3C2(CCCC3(C)C)C)O,10.3
CC(C)C=CC1=C(C=C2C(=C1O)C(=O)C(=C(O2)C3=C(C=C(C=C3)O)O)CC=C(C)C)OC,10.3
CC1CN2CC3CCC(=O)C4=C5C3(C2CC1(C(=C5C(=C4CCO)C(=O)OC)O)O)C,10.3
CC12CCC(CC1(CCC3C2CCC4(C35C(O5)C(C4C6=COC(=O)C=C6)O)C)O)O,10.32412965
COC1=CC2=C(C=C1)C3=C(N2)C(=CC(=C3)C=O)O,10.36
CC1(CCCC2(C1CC(C3C2CC(=O)C4(C3(O4)CO)C#C)O)C)C,10.45
C=CCCCCCCCCCC=C1C(C(=C)OC1=O)O,10.48850575
CC(=CCC1=CC(=CC(=C1O)CC=C(C)C)C2CC(=O)C3=C(O2)C(=C(C=C3O)O)CC=C(C)C)C,10.49097776
CC(=O)OC1(C2CC(C(C2)OC1=O)C3CCC4(C3(CCC5=C4CCC6C(=C5)C=CC(=O)OC6(C)C)C)C)C,10.5
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C(=O)O)C)C,10.51018174
CC1CCC2(C(C1(C)CCC3=CC(=O)OC3O)CCCC2=C)C,10.52135678
C1C2C(COC2C3=CC4=C(C=C3)OCO4)C(O1)C5=CC6=C(C=C5)OCO6,10.5248307
CN1CCC2=CC3=C(C4=C2C1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)CC7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3,10.54887094
CC1(C=CC2=C3C(=C(C=C2O1)O)C(=O)C4=C(O3)C5=C6C(C4)C(OC6=C(C=C5O)O)(C)C)C,10.5893186
CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3CC5C6(C4(C(=O)C=CC6O)C)O5)C)COC7C(C(C(C(O7)CO)O)O)O,10.58953691
COC1=CC(=CC(=C1O)OC)C2C3C(CC4=CC5=C(C=C24)OCO5)COC3=O,10.6
C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,10.64
CC1CC2C(OC3(C1C4(CCC56CC57CCC(C(C7CCC6C4(C3O)C)(C)C)OC8C(C(C(CO8)O)O)O)C)O2)C(C)(C)OC(=O)C,10.68
C1=C(C(=O)NC(=O)N1)F,10.68573186
COC1=CC2=C(C=C1)C3=C(N2)C(=CC(=C3)C=O)O,10.69
CC(=CCCC1(CC=C(C(=O)C(C1C=COC(=O)C=C(C)C)CC(=O)C)CO)C)C,10.7
C1=CC2=C(C(=C1)O)C(=O)C3=C(C=C(C=C3C2C4C(C(C(C(O4)CO)O)O)O)CO)O,10.78
COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC=CC=C3)OC,10.8
COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,10.8
COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC=C(C=C3)O)O,10.8
CC(C)C1=CC2=CC(=O)C3C(CCCC3(C2=C(C1=O)O)C)(C)C,10.81424936
CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O,10.86673889
CC12CCC3C(C1C(=C)CCC2O)OC(=O)C3=C,10.87306701
C1C[N+]2=C(C=C3C=CC4=C(C3=C2)OCO4)C5=CC6=C(C=C51)OCO6,10.9272557
CC(=CCC1CC23CC(C(OC2=C(C(=O)C(C3=O)(C1(C)C)CC=C(C)C)C(=O)C4=CC(=C(C=C4)O)O)C=C(C)C)C(=C)C)C,10.98535286
CC1C=C(C(=O)C2(C1CC3C45C2C(C(C(C4C(C(=O)O3)OC(=O)C=C(C)C)(OC5)C(=O)OC)O)O)C)OC6C(C(C(C(O6)CO)O)O)O,10.98579171
COC1=C(C2=CN3CCC4=CC5=C(C=C4[C]3C=C2C=C1)OCO5)OC,10.99881094
CC1=CC2=C(C(=C1)O)C(=O)C(=CC2=O)OC,10.99908341
C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,11
C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O,11
C1C2C(COC2C3=CC4=C(C=C3)OCO4)C(O1)C5=CC6=C(C=C5)OCO6,11
CC1C(C(=O)OC1C2C(C3C4CC5C3C(O4)(O2)CC6C5CC=C7C6(C(=O)CC=C7)C)(C)O)C,11
CC1CC(OC(=O)C1C)C(C)(C2C(CC3C2C(=O)CC4C3CC=C5C4(C(=O)CC=C5)C)O)O,11
C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,11
CC1(C=CC2=C(O1)C=C(C3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC)O)C,11
COC1=C(C=CC(=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,11
COC1=C(C=CC(=C1)C=CCO)O,11.03
CC(=CC(=O)OC1C=CC(CC=C(CCC2C1(O2)C)CO)(C)CC=CC(C)(C)O)C,11.0367893
CC12CCC3C(C1(CCC2C4=CC(=O)OC4)O)CCC5(C3(CCC(C5)O)C=O)O,11.07540173
C1=CC(=CC=C1CCC(CC(CCC2=CC(=C(C=C2)O)O)O)OC3C(C(C(C(O3)CO)O)O)O)O,11.1223458
CC12CCCC(=C)C1CC(CC2)C(C)(C)O,11.15
CC(=CCC1CC23CC(C(OC2=C(C(=O)C(C3=O)(C1(C)C)CC=C(C)C)C(=O)C4=CC(=C(C=C4)O)O)C=C(C)C)C(=C)C)C,11.1517976
COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)C4=C(C=CC(=C4)C5=CC(=O)C6=C(C=C(C=C6O5)O)O)O,11.16
CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C(=O)O)C)C,11.1670681
CC(C)C(=O)C12C(=O)C(=C(C(C1=O)(CC(C2(C)CCC=C(C)C)CC=C(C)C)CC=C(C)C)O)CC=C(C)C,11.17734724
CC1C(C(C(C(O1)OC2CCC3(C(C2(C)CO)CCC4(C3C=CC5=C6CC(CCC6(C(CC54C)O)CO)(C)C)C)C)O)OC7C(C(C(C(O7)CO)O)O)O)O,11.19078105
CCC12CC(=C3C4(C1N(CC4)CC=C2)C5=CC=CC=C5N3)C(=O)OC,11.2
CC(=CCCC1(C(CC2(C(=O)C(=C(C3=CC(=C(C=C3)O)O)O)C(=O)C1(C2=O)CC=C(C)C)CC=C(C)C)CC=C(C)C)C)C,11.28069011
CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)CO)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)O)C)C)C)O)O)O)O)O,11.3
CC(=CCC(CC1=C(C=C(C2=C1OC(CC2=O)C3=C(C=C(C=C3)O)OC)O)O)C(=C)C)C,11.3
CC1C(C(OC1C2=CC(=C(C=C2)O)OC)C3=CC(=C(C=C3)O)OC)C,11.3
COC1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)OC)OC,11.3
CC(=CCCC1(CC=C(C(=O)C(C1C=COC(=O)C=C(C)C)CC(=O)C)CO)C)C,11.3
CC1=CC2=C(C(=C1)O)C(=O)C3=C(C=C(C(=C3C2=O)C4=C5C(=C(C=C4O)O)C(=O)C6=C(C5=O)C=C(C=C6O)C)O)O,11.3
CC(=CCC1=C2C(=C(C=C1O)O)C(=O)CC(O2)C3=C(C=C(C=C3)O)O)C,11.3
COC1=C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,11.37
CC(C)C(C)C=CC(C)C1CCC2C1(CCC3C24C=CC5(C3(CCC(C5)O)C)OO4)C,11.38590761
CC=CC=CCC=CCCCCCCCCCC1=C(C=CC(=C1)O)O,11.38686131
CC(=CCC1=C(C2=C(C=C1CO)OC3=CC(=C(C(=C3C2=O)CC=C(C)C)O)O)O)C,11.42509135
CC(=O)OC1C2C(C=CC(=O)O2)OC1C3=CC=CC=C3,11.44
COC1=CC(=CC(=C1O)OC)C2C3C(CC4=CC5=C(C=C24)OCO5)COC3=O,11.5
COC1=C(C=C2C(=C1)C(=C3C(=C2O)COC3=O)C4=CC5=C(C=C4)OCO5)OC,11.5
CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(C(COC3OC4CCC5(C(C4(C)CO)CCC6(C5CC=C7C6(CCC8(C7CC(CC8)(C)C)C(=O)O)C)C)C)O)O)CO)O)O)O,11.5
C1CC2=C(C(=CC=C2)O)OC3=CC=CC(=C3)CCC4=CC(=C(C(=C4)OC5=CC=C1C=C5)O)O,11.5
C1C=CC(=O)OC1C=CC2=CC=CC=C2,11.5
COC1=C(C=C2C(=C1)C3=C(C(C4CCCN4C3)O)C5=C2C=C(C=C5)O)OC,11.54
CC(C)C1=C(C(=C2C(=C1)C3C(C4C2(CCCC4(C)C)C(=O)O3)O)O)O,11.54734411
COC1=C(C=CC(=C1)CC2COC(C2CO)C3=CC(=C(C=C3)O)O)O,11.54734411
C1C[N+]2=C(C=C3C=CC4=C(C3=C2)OCO4)C5=CC6=C(C=C51)OCO6,11.55167031
